Feature1,Feature2,Target
7.103394290278569,7.241486242567511,1.0
2.2969885276582844,2.489376337545473,0.0
6.92985758809242,6.6019288710999655,1.0
2.353675138522517,2.932827531409578,0.0
0.6762877711896966,2.496256728940999,0.0
8.040869507587091,6.796320285031999,1.0
7.121718273645017,5.22348420076591,1.0
2.8300696838630865,-0.01790123428604984,0.0
1.3752320932688664,1.4255603470770999,0.0
7.188476877647411,8.394679836721924,1.0
0.9058965782052459,-0.28321383139707956,0.0
1.8071733412361461,3.5337032400870036,0.0
7.938566212312212,5.908606777810215,1.0
0.5794877400568383,1.7615634242947509,0.0
6.304175439460975,7.627942251515679,1.0
8.284226538241638,6.805788532634752,1.0
7.5004550694512355,6.898612852579989,1.0
0.4336660258103182,1.052702118290219,0.0
6.814898438652028,7.255231594325809,1.0
6.566834025064654,5.228538178857792,1.0
8.126056181535182,5.032992958785001,1.0
6.3395475262184,5.311416887365965,1.0
6.353454692437104,7.723860060984048,1.0
7.052376585558093,6.200878302067303,1.0
0.9686497134991376,2.1350692952396795,0.0
7.675117357482147,7.83057871014803,1.0
7.863688993127098,8.190782267955932,1.0
2.553703011255711,1.69540262448721,0.0
3.4265966275417163,1.7450612791225515,0.0
6.3356218364022,8.296162425940885,1.0
6.747097509926596,7.785453851907314,1.0
7.700146127866357,8.726989325181254,1.0
4.6007452583873825,5.75079299013317,1.0
0.7609259899269873,2.2046663896084135,0.0
2.617637218154149,1.9530312748879648,0.0
8.534625968188257,5.384478667410609,1.0
6.837265664724132,7.446022009079881,1.0
0.9714811236922667,2.1290574931317265,0.0
3.0513557563527742,-0.49538933659347784,0.0
3.11780030022936,3.021214644350627,0.0
7.544065904716313,7.866358924471058,1.0
4.043280280867606,0.4813394777786346,0.0
7.441559689249492,6.78035239489788,1.0
1.9183027993447574,0.6847606518032336,0.0
0.14478083088017057,2.2054822968332184,0.0
1.6357060418648097,2.278322671859473,0.0
2.262335631342037,0.9751152620887598,0.0
2.0115587424693513,1.477312254237475,0.0
7.0888563328267855,6.237927075020325,1.0
2.869058108340005,0.000956402327166872,0.0
2.0014334685456063,2.1760829548648584,0.0
3.4321017562059994,1.1368033104222688,0.0
2.4494527092732317,2.4069988291612043,0.0
7.022589389794391,5.557193303723526,1.0
2.421183359616907,0.8265295273924016,0.0
0.385494538062771,2.582428558105779,0.0
2.855700956055361,0.4769151070238451,0.0
2.364293022256494,1.6694871615783249,0.0
1.030373568614011,0.9050152311568971,0.0
1.2555650568281298,2.641184696100476,0.0
6.1221961842497965,8.221160028787585,1.0
4.845949809275904,5.437535195401348,1.0
8.313928248601753,6.706766169175877,1.0
6.1614606216438,7.353427474609664,1.0
3.0586257310467238,1.836513231077436,0.0
0.6640403771340457,2.631457971902712,0.0
7.275762763007035,6.390606840323289,1.0
-0.053684802210244964,3.027786205684058,0.0
1.5528531454202463,3.175042648272653,0.0
7.564493991598543,6.159857142314833,1.0
