LOCATION,ERECTED,LENGTH,LANES,RIVER_A,RIVER_M,RIVER_O,RIVER_Y,PURPOSE_AQUEDUCT,PURPOSE_HIGHWAY,PURPOSE_RR,PURPOSE_WALK,CLEAR-G_G,CLEAR-G_N,CLEAR-G_Unknown,T-OR-D_DECK,T-OR-D_THROUGH,T-OR-D_Unknown,MATERIAL_IRON,MATERIAL_STEEL,MATERIAL_WOOD,SPAN_LONG,SPAN_MEDIUM,SPAN_SHORT,SPAN_Unknown,REL-L_F,REL-L_S,REL-L_S-F,REL-L_Unknown,LABEL
-1.6720021172399955,-2.3898156442146097,-0.3116534183473708,-0.5003719961826982,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
-0.05033486661044944,-2.3619406561405665,-0.7088982439953121,-0.5003719961826982,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
0.981635201971989,-2.083190775400138,-0.3116534183473708,-1.4062178513410315,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
0.24451372441310437,-1.8601908708077948,-0.7647843981739197,-0.5003719961826982,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
-0.19775916212222636,-1.832315882733752,-0.3116534183473708,-0.5003719961826982,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
0.09708942890132746,-1.7765659065856663,-0.779888764168138,-0.5003719961826982,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
0.1708015766572159,-1.6650659542894948,-0.7647843981739197,-1.4062178513410315,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,2
-1.6720021172399955,-1.609315978141409,-0.009566098463004808,-0.5003719961826982,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,2
0.981635201971989,-1.5535660019933233,-0.3116534183473708,-1.4062178513410315,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
0.24451372441310437,-1.4699410377711946,-0.7647843981739197,-0.5003719961826982,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
0.981635201971989,-1.4141910616231088,-0.3116534183473708,-0.5003719961826982,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
-1.45086567397233,-1.3305660974009803,-0.46269707828955375,-0.5003719961826982,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
0.5393623154366581,-1.3305660974009803,-0.3116534183473708,-0.5003719961826982,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
0.1708015766572159,-1.3026911093269373,-0.3116534183473708,-0.5003719961826982,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
-0.05033486661044944,-1.2469411331788516,-0.7194713001912648,-0.5003719961826982,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,2
-1.5982899694841068,-1.13544118088268,-0.7647843981739197,-0.5003719961826982,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,3
0.1708015766572159,-1.1075661928086373,-0.46269707828955375,-0.5003719961826982,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,3
0.24451372441310437,-1.0518162166605516,-0.7647843981739197,-0.5003719961826982,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
