LOCATION,LANES,RIVER_A,RIVER_M,RIVER_O,RIVER_Y,ERECTED_CRAFTS,ERECTED_EMERGING,ERECTED_MATURE,ERECTED_MODERN,PURPOSE_AQUEDUCT,PURPOSE_HIGHWAY,PURPOSE_RR,PURPOSE_WALK,LENGTH_LONG,LENGTH_MEDIUM,LENGTH_SHORT,LENGTH_Unknown,CLEAR-G_G,CLEAR-G_N,CLEAR-G_Unknown,T-OR-D_DECK,T-OR-D_THROUGH,T-OR-D_Unknown,MATERIAL_IRON,MATERIAL_STEEL,MATERIAL_WOOD,SPAN_LONG,SPAN_MEDIUM,SPAN_SHORT,SPAN_Unknown,REL-L_F,REL-L_S,REL-L_S-F,REL-L_Unknown,LABEL
-1.6720021172399955,-0.5003719961826982,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
-0.05033486661044944,-0.5003719961826982,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
0.981635201971989,-1.4062178513410315,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
0.24451372441310437,-0.5003719961826982,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
-0.19775916212222636,-0.5003719961826982,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
0.09708942890132746,-0.5003719961826982,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
0.1708015766572159,-1.4062178513410315,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,2
-1.6720021172399955,-0.5003719961826982,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,2
0.981635201971989,-1.4062178513410315,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
0.24451372441310437,-0.5003719961826982,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
0.981635201971989,-0.5003719961826982,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
-1.45086567397233,-0.5003719961826982,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
0.5393623154366581,-0.5003719961826982,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
0.1708015766572159,-0.5003719961826982,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
