Rep,Altitude,Rainfall,Frosts,Year,PMCno,DBH,Ht,Surv,Vig,Ins_res,Stem_Fm,Crown_Fm,Brnch_Fm,Abbrev_Cly,Abbrev_Cra,Abbrev_K81,Abbrev_K81a,Abbrev_K82,Abbrev_K83,Abbrev_Lon,Abbrev_Mor,Abbrev_Nga,Abbrev_Paw,Abbrev_Puk,Abbrev_WSh,Abbrev_WSp,Abbrev_Wai,Abbrev_Wak,Abbrev_Wen,Locality_Central_Hawkes_Bay,Locality_Central_Hawkes_Bay_(coastal),Locality_Central_Poverty_Bay,Locality_Central_Wairarapa,Locality_Northern_Hawkes_Bay,Locality_South_Wairarapa,Locality_Southern_Hawkes_Bay,Locality_Southern_Hawkes_Bay_(coastal),Map_Ref_N116_848/985,Map_Ref_N135_382/137,Map_Ref_N141_295/063,Map_Ref_N142_377/957,Map_Ref_N145_874/586,Map_Ref_N146_273/737,Map_Ref_N151_912/221,Map_Ref_N151_922/226,Map_Ref_N158_343/625,Map_Ref_N158_344/626,Map_Ref_N162_081/300,Map_Ref_N162_097/424,Map_Ref_N166_063/197,Map_Ref_N98_539/567,Latitude_39__00,Latitude_39__38,Latitude_39__43,Latitude_39__50,Latitude_40__00,Latitude_40__11,Latitude_40__36,Latitude_40__57,Latitude_41__08,Latitude_41__12,Latitude_41__16,Latitude_82__32,Sp_ag,Sp_am,Sp_br,Sp_bxs,Sp_co,Sp_cr,Sp_el,Sp_fa,Sp_fr,Sp_jo,Sp_ka,Sp_ma,Sp_mn,Sp_nc,Sp_nd,Sp_ni,Sp_ob,Sp_ov,Sp_pa,Sp_pu,Sp_ra,Sp_rd,Sp_re,Sp_ro,Sp_si,Sp_sm,Sp_te,LABEL
-0.9294597635278563,-1.2171795492814903,-1.6992667841293225,1.1854234509954384,-1.348682507833663,-0.8736387791990746,-0.03511553482359326,0.16238810260289258,-0.6961982354040563,0.9657367252820619,0.12017633165394959,0.742422112727425,1.0994619058362216,0.8580599122774111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.9294597635278563,-1.2171795492814903,-1.6992667841293225,1.1854234509954384,-1.348682507833663,-0.9271993702356504,-0.03853561450137941,0.08676718314197628,1.03564987781251,1.4844044352992813,1.405783600510148,0.742422112727425,0.4005467540868185,0.19188681582574996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-0.9294597635278563,-1.2171795492814903,-1.6992667841293225,1.1854234509954384,-1.348682507833663,-1.1300803968893467,-0.04036180798970673,-0.6816389339608816,-0.34982861276074306,-0.7977334887764845,-0.5226273027741497,0.006003413310464663,0.4005467540868185,0.19188681582574996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
-0.9294597635278563,-1.2171795492814903,-1.6992667841293225,1.1854234509954384,-1.348682507833663,-0.7502871149936272,-0.037470872714898816,0.04529764666340937,0.3429106325258835,0.6545360992717304,0.12017633165394959,0.4478546329606406,1.0994619058362216,0.8580599122774111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.9294597635278563,-1.2171795492814903,-1.6992667841293225,1.1854234509954384,-1.348682507833663,0.04825260591532111,-0.03766446213062256,0.3624176314995091,1.03564987781251,0.9657367252820619,-0.26550584900290974,0.4478546329606406,-0.2983683976625847,0.19188681582574996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
-0.9294597635278563,-1.2171795492814903,-1.6992667841293225,1.1854234509954384,-1.348682507833663,-0.8703926827726154,-0.03604476401906723,0.7283253063103938,0.3429106325258835,2.003072145316501,1.405783600510148,2.9516782109783057,1.0994619058362216,2.1904061051807333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
-0.9294597635278563,-1.2171795492814903,-1.6992667841293225,1.1854234509954384,-1.348682507833663,-0.872015730985845,-0.038032282020497674,0.11603979712684687,0.6892802551691968,0.9657367252820619,-1.1654309372022489,0.006003413310464663,-0.2983683976625847,0.19188681582574996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
-0.9294597635278563,-1.2171795492814903,-1.6992667841293225,1.1854234509954384,-1.348682507833663,-0.8687696345593858,-0.03472835599214577,0.4795080874389923,1.3820195004558233,2.003072145316501,2.0485872349382475,0.742422112727425,1.0994619058362216,-1.1404593770775722,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
-0.9294597635278563,-1.2171795492814903,-1.6992667841293225,1.1854234509954384,-1.348682507833663,-0.8671465863461563,-0.04210411273122043,-0.6596844734722286,0.6892802551691968,-0.5902664047695966,-0.5226273027741497,0.4478546329606406,0.4005467540868185,0.8580599122774111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
-0.9294597635278563,-1.2171795492814903,-1.6992667841293225,1.1854234509954384,-1.348682507833663,-0.8655235381329267,-0.03750313761751944,-0.04008081079246363,-0.34982861276074306,0.9657367252820619,1.405783600510148,0.4478546329606406,-0.2983683976625847,0.19188681582574996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
